Time (s),Acceleration Without HSI (m/s²),Acceleration With HSI (m/s²)
4.92,0.11471753202377646,0.1140056346578946
4.93,0.10858373687885696,0.10796375357531736
4.94,0.10102888660540517,0.10051430160114261
4.95,0.09217823404745655,0.09178004846996954
4.96,0.0821085945946538,0.08183491074252963
4.97,0.07084776247284184,0.07070378327394262
4.98,0.05839154425877897,0.05837992282707776
4.99,0.044736095768905075,0.04485745111614042
5.0,0.02991721644068831,0.030170620695290147
5.01,0.014045298708274364,0.014428616713280643
5.0200000000000005,-0.002673509555216433,-0.002163464967724366
5.03,-0.019934235596778867,-0.019301738126682098
5.04,-0.03734734212597093,-0.03659798788294965
5.05,-0.05446681585881872,-0.0536079544099582
5.0600000000000005,-0.07082779534037834,-0.0698690728685064
5.07,-0.0859886781366418,-0.08494251145460294
5.08,-0.09957089740352139,-0.0984526614425804
5.09,-0.11128810617054931,-0.1101158949384219
5.1000000000000005,-0.12095772238018974,-0.11975170050704152
5.11,-0.1284925877668351,-0.1272740908789725
5.12,-0.13387697654253636,-0.13266756521664624
5.13,-0.13713585128857503,-0.13595647538958833
5.14,-0.13830675271633164,-0.1371771076143076
5.15,-0.1374205999350672,-0.13635871698793917
5.16,-0.13449367432522238,-0.13351578576761972
5.17,-0.12953049340405468,-0.1286511928107474
5.18,-0.12253628266326727,-0.12176892432071082
5.19,-0.11353675415865311,-0.11289392286423408
5.2,-0.10260078716954794,-0.10209460424063015
5.21,-0.08985928214692802,-0.08950135846531414
5.22,-0.07551319943602233,-0.07531418905204716
5.23,-0.05982698961797993,-0.059795852634573314
5.24,-0.043109124949861674,-0.04325228868381208
5.25,-0.025686180746384922,-0.026006772895062837
5.26,-0.007878292161061942,-0.008375560464779146
5.2700000000000005,0.01001831051832855,0.009349316567585659
5.28,0.027739470970801972,0.026907886696500904
5.29,0.045052291767660534,0.044071040272483056
5.3,0.061746656894845736,0.0606316930731721
5.3100000000000005,0.07762111910095588,0.07639046249813769
5.32,0.09246679427714198,0.09113959428593378
5.33,0.10605496866080225,0.10465083869676053
